,State_full,count
0,Alaska,62
1,Alabama,330
2,Arkansas,236
3,Arizona,1000
4,California,14770
5,Colorado,1809
6,Connecticut,634
7,Delaware,158
8,Florida,2970
9,Georgia,1598
10,Hawaii,383
11,Iowa,317
12,Idaho,161
13,Illinois,1291
14,Indiana,428
15,Kansas,500
16,Kentucky,261
17,Louisiana,211
18,Massachusetts,2462
19,Maryland,1426
20,Maine,420
21,Michigan,1178
22,Minnesota,575
23,Missouri,1093
24,Mississippi,118
25,Montana,105
26,North Carolina,1186
27,North Dakota,84
28,Nebraska,213
29,New Hampshire,206
30,New Jersey,971
31,New Mexico,251
32,Nevada,501
33,New York,3435
34,Ohio,1268
35,Oklahoma,342
36,Oregon,1041
37,Pennsylvania,1346
38,Rhode Island,312
39,South Carolina,448
40,South Dakota,79
41,Tennessee,722
42,Texas,2543
43,Utah,760
44,Virginia,1252
45,Vermont,356
46,Washington,1794
47,Wisconsin,485
48,West Virginia,142
49,Wyoming,93
