State,Year,count
AK,2014.0,1
AK,2015.0,2
AK,2017.0,5
AK,2018.0,7
AK,2019.0,3
AK,2020.0,16
AK,2021.0,16
AK,2022.0,12
AL,2011.0,8
AL,2012.0,30
AL,2014.0,11
AL,2015.0,30
AL,2016.0,11
AL,2017.0,34
AL,2018.0,13
AL,2019.0,17
AL,2020.0,30
AL,2021.0,45
AL,2022.0,93
AL,2023.0,8
AR,2011.0,18
AR,2013.0,7
AR,2014.0,3
AR,2015.0,5
AR,2016.0,4
AR,2017.0,18
AR,2018.0,12
AR,2019.0,18
AR,2020.0,12
AR,2021.0,51
AR,2022.0,72
AR,2023.0,16
AZ,2010.0,2
AZ,2011.0,27
AZ,2012.0,17
AZ,2013.0,5
AZ,2014.0,18
AZ,2015.0,41
AZ,2016.0,36
AZ,2017.0,30
AZ,2018.0,44
AZ,2019.0,77
AZ,2020.0,80
AZ,2021.0,330
AZ,2022.0,255
AZ,2023.0,38
CA,1995.0,1
CA,1996.0,1
CA,1997.0,6
CA,1998.0,13
CA,1999.0,12
CA,2000.0,3
CA,2002.0,19
CA,2004.0,14
CA,2005.0,3
CA,2006.0,3
CA,2008.0,17
CA,2009.0,3
CA,2010.0,4
CA,2011.0,181
CA,2012.0,129
CA,2013.0,162
CA,2014.0,241
CA,2015.0,406
CA,2016.0,306
CA,2017.0,305
CA,2018.0,552
CA,2019.0,543
CA,2020.0,2774
CA,2021.0,6005
CA,2022.0,2648
CA,2023.0,414
CO,2010.0,2
CO,2011.0,18
CO,2012.0,30
CO,2013.0,19
CO,2014.0,38
CO,2015.0,60
CO,2016.0,47
CO,2017.0,89
CO,2018.0,105
CO,2019.0,126
CO,2020.0,262
CO,2021.0,547
CO,2022.0,422
CO,2023.0,41
CT,2010.0,2
CT,2011.0,44
CT,2012.0,35
CT,2013.0,16
CT,2014.0,39
CT,2015.0,46
CT,2016.0,70
CT,2017.0,20
CT,2018.0,28
CT,2019.0,55
CT,2020.0,36
CT,2021.0,60
CT,2022.0,156
CT,2023.0,27
DE,2012.0,7
DE,2013.0,2
DE,2014.0,3
DE,2015.0,7
DE,2016.0,2
DE,2017.0,15
DE,2018.0,5
DE,2019.0,5
DE,2020.0,23
DE,2021.0,52
DE,2022.0,35
DE,2023.0,2
FL,2011.0,77
FL,2012.0,127
FL,2013.0,37
FL,2014.0,46
FL,2015.0,111
FL,2016.0,99
FL,2017.0,181
FL,2018.0,187
FL,2019.0,255
FL,2020.0,294
FL,2021.0,755
FL,2022.0,707
FL,2023.0,93
GA,2011.0,41
GA,2012.0,41
GA,2013.0,11
GA,2014.0,28
GA,2015.0,64
GA,2016.0,68
GA,2017.0,84
GA,2018.0,115
GA,2019.0,87
GA,2020.0,196
GA,2021.0,528
GA,2022.0,264
GA,2023.0,71
HI,2011.0,13
HI,2012.0,55
HI,2013.0,16
HI,2014.0,9
HI,2015.0,22
HI,2016.0,17
HI,2017.0,29
HI,2018.0,9
HI,2019.0,30
HI,2020.0,42
HI,2021.0,74
HI,2022.0,58
HI,2023.0,9
IA,2010.0,2
IA,2011.0,15
IA,2012.0,11
IA,2013.0,1
IA,2014.0,6
IA,2015.0,11
IA,2016.0,11
IA,2017.0,12
IA,2018.0,17
IA,2019.0,23
IA,2020.0,41
IA,2021.0,82
IA,2022.0,77
IA,2023.0,8
ID,2012.0,5
ID,2013.0,5
ID,2014.0,5
ID,2015.0,19
ID,2016.0,25
ID,2017.0,14
ID,2018.0,10
ID,2019.0,16
ID,2020.0,13
ID,2021.0,28
ID,2022.0,15
ID,2023.0,6
IL,2010.0,1
IL,2011.0,11
IL,2012.0,77
IL,2013.0,31
IL,2014.0,26
IL,2015.0,44
IL,2016.0,37
IL,2017.0,57
