Year,State,count
2014,AK,1.0
2014,AL,11.0
2014,AR,3.0
2014,AZ,18.0
2014,CA,241.0
2014,CO,38.0
2014,CT,39.0
2014,DE,3.0
2014,FL,46.0
2014,GA,28.0
2014,HI,9.0
2014,IA,6.0
2014,ID,5.0
2014,IL,26.0
2014,IN,12.0
2014,KS,14.0
2014,KY,4.0
2014,LA,4.0
2014,MA,34.0
2014,MD,28.0
2014,ME,17.0
2014,MI,30.0
2014,MN,21.0
2014,MO,7.0
2014,MS,1.0
2014,MT,4.0
2014,NC,34.0
2014,ND,0.0
2014,NE,2.0
2014,NH,13.0
2014,NJ,18.0
2014,NM,6.0
2014,NV,31.0
2014,NY,34.0
2014,OH,21.0
2014,OK,7.0
2014,OR,24.0
2014,PA,36.0
2014,RI,5.0
2014,SC,9.0
2014,SD,1.0
2014,TN,23.0
2014,TX,33.0
2014,UT,14.0
2014,VA,41.0
2014,VT,20.0
2014,WA,47.0
2014,WI,36.0
2014,WV,6.0
2014,WY,8.0
2015,AK,2.0
2015,AL,30.0
2015,AR,5.0
2015,AZ,41.0
2015,CA,406.0
2015,CO,60.0
2015,CT,46.0
2015,DE,7.0
2015,FL,111.0
2015,GA,64.0
2015,HI,22.0
2015,IA,11.0
2015,ID,19.0
2015,IL,44.0
2015,IN,14.0
2015,KS,19.0
2015,KY,7.0
2015,LA,9.0
2015,MA,52.0
2015,MD,62.0
2015,ME,32.0
2015,MI,25.0
2015,MN,21.0
2015,MO,45.0
2015,MS,2.0
2015,MT,8.0
2015,NC,45.0
2015,ND,1.0
2015,NE,7.0
2015,NH,25.0
2015,NJ,18.0
2015,NM,11.0
2015,NV,21.0
2015,NY,90.0
2015,OH,36.0
2015,OK,6.0
2015,OR,47.0
2015,PA,41.0
2015,RI,3.0
2015,SC,23.0
2015,SD,11.0
2015,TN,20.0
2015,TX,98.0
2015,UT,27.0
2015,VA,51.0
2015,VT,22.0
2015,WA,64.0
2015,WI,15.0
2015,WV,5.0
2015,WY,10.0
2017,AK,5.0
2017,AL,34.0
2017,AR,18.0
2017,AZ,30.0
2017,CA,305.0
2017,CO,89.0
2017,CT,20.0
2017,DE,15.0
2017,FL,181.0
2017,GA,84.0
2017,HI,29.0
2017,IA,12.0
2017,ID,14.0
2017,IL,57.0
2017,IN,21.0
2017,KS,26.0
2017,KY,25.0
2017,LA,24.0
2017,MA,20.0
2017,MD,71.0
2017,ME,19.0
2017,MI,30.0
2017,MN,36.0
2017,MO,109.0
2017,MS,16.0
2017,MT,8.0
2017,NC,74.0
2017,ND,3.0
2017,NE,9.0
2017,NH,3.0
2017,NJ,28.0
2017,NM,10.0
2017,NV,23.0
2017,NY,135.0
2017,OH,51.0
2017,OK,21.0
2017,OR,46.0
2017,PA,36.0
2017,RI,3.0
2017,SC,27.0
2017,SD,3.0
2017,TN,33.0
2017,TX,100.0
2017,UT,17.0
2017,VA,67.0
2017,VT,19.0
2017,WA,89.0
2017,WI,17.0
2017,WV,39.0
2017,WY,14.0
2018,AK,7.0
2018,AL,13.0
2018,AR,12.0
2018,AZ,44.0
2018,CA,552.0
2018,CO,105.0
2018,CT,28.0
2018,DE,5.0
2018,FL,187.0
2018,GA,115.0
2018,HI,9.0
2018,IA,17.0
