id,road_length,count
8329a1fffffffff,1079621.1072152564,2843
8329a5fffffffff,424209.66791489086,1180
8329a4fffffffff,609178.5956409932,1252
8329a0fffffffff,1164983.971779917,1846
832912fffffffff,173234.52979027634,210
8329a6fffffffff,506641.8700309763,174
832830fffffffff,953023.6353987391,2134
832832fffffffff,912640.4009851448,689
8329adfffffffff,330962.880364057,177
832834fffffffff,863722.4432785974,2723
832b8cfffffffff,1126255.407157953,182
8328d5fffffffff,879557.8160880115,1139
8328f0fffffffff,844505.0542247196,554
832831fffffffff,340401.3353903965,121
832884fffffffff,231447.2743229829,77
83489cfffffffff,908712.1397954434,204
8328f4fffffffff,739737.8965364994,128
8328f5fffffffff,387531.2379895381,53
832a10fffffffff,3237128.5953466725,1738
8344a9fffffffff,1170805.8922879568,492
832758fffffffff,964642.2248093237,144
832b89fffffffff,1586726.4319087283,796
8312dbfffffffff,507508.6452159444,85
83260dfffffffff,1038520.287662697,90
832a13fffffffff,2025750.421986452,488
83281bfffffffff,227094.47960305243,76
83446cfffffffff,1213689.6086083702,421
8344d8fffffffff,1112382.9255193633,235
832a14fffffffff,1920457.4605114725,491
832a15fffffffff,642985.5370381357,186
832759fffffffff,1697536.3665032918,460
8344defffffffff,1158490.408046064,64
832ab3fffffffff,2074182.9466391704,242
832a9cfffffffff,982339.9255346374,42
832646fffffffff,691067.845460134,91
832696fffffffff,558722.4030121565,545
832656fffffffff,1664050.9998229838,996
832a32fffffffff,1360337.9177845903,237
8344aefffffffff,352678.0687120438,201
832a30fffffffff,1245542.9178490012,1535
8344ddfffffffff,1171761.2348603453,132
83268cfffffffff,1089515.5143581328,562
832681fffffffff,989887.2856148091,601
832664fffffffff,1947261.4018335866,606
832748fffffffff,1240307.2983975746,200
832662fffffffff,1013296.0942176715,69
832644fffffffff,592909.2317947072,19
832661fffffffff,1394099.5817508157,107
832752fffffffff,1074611.2122692768,256
832ad6fffffffff,1154918.8088215413,194
832651fffffffff,391879.9820846664,14
83489efffffffff,922085.5338145859,526
832a8afffffffff,1083507.1427973693,64
832a8dfffffffff,1147453.1455423331,156
8344cbfffffffff,671857.4219542207,33
83264dfffffffff,1607995.2525050906,350
8326d9fffffffff,749946.4250875585,6
8326d1fffffffff,594118.3166616322,14
8326cbfffffffff,1155630.7565473127,230
83446efffffffff,442566.2397808821,18
83446dfffffffff,403433.3292751879,95
834895fffffffff,487028.884869166,28
8326c8fffffffff,1320532.4852717975,535
8348c6fffffffff,506352.4960462862,54
8326cafffffffff,809268.2428054812,56
8348b3fffffffff,447417.73917483573,19
83489afffffffff,646319.8818359374,34
834880fffffffff,208237.81114764616,7
83444dfffffffff,1049018.1638279723,15
8326defffffffff,588592.337728793,14
83488bfffffffff,423870.28356375283,8
834893fffffffff,404248.9148337542,12
834898fffffffff,483951.772509532,113
83488afffffffff,553656.9731181357,8
8326c9fffffffff,644153.5659531712,32
834891fffffffff,708628.7401603976,7
8326ddfffffffff,661451.21636419,6
832aa8fffffffff,1844547.8890532877,1423
832aaafffffffff,1240141.775992073,306
832a8cfffffffff,1175926.3026649826,76
832af6fffffffff,937315.2377760299,189
832a8efffffffff,994835.5408178298,22
8328d1fffffffff,274712.1639192292,120
832888fffffffff,590868.2832495704,98
8344cdfffffffff,904119.9708240783,66
83264cfffffffff,1013483.7391830249,21
8344c9fffffffff,633017.5760276964,18
83264efffffffff,855078.1821300478,6
8344d9fffffffff,1308808.099311039,114
832a9bfffffffff,981137.3482874546,15
8344cafffffffff,1364552.2702903505,137
832659fffffffff,1029366.6040190905,42
8328a9fffffffff,397368.53368290793,66
83281efffffffff,280813.1491986134,46
8328f6fffffffff,441200.39919957105,26
8344dcfffffffff,1155875.205938816,24
83264afffffffff,922276.3395856977,32
832a99fffffffff,866012.588740892,20
8344e8fffffffff,1075148.1370340183,71
834450fffffffff,918800.250008944,53
832649fffffffff,1039747.919920535,57
8344ecfffffffff,666542.3156770004,23
8329b6fffffffff,680046.9604687081,377
8348ebfffffffff,366751.1927079371,355
8329b0fffffffff,253033.21241495275,4
8348e8fffffffff,266901.3313765599,87
8329aefffffffff,367789.9758672811,89
832833fffffffff,485738.59418244025,52
8329abfffffffff,353057.43474223284,293
832802fffffffff,375202.75805231783,71
832836fffffffff,735297.4523851462,222
832815fffffffff,404063.0636518501,50
8329a8fffffffff,736707.5086069262,147
83441efffffffff,389340.14597647544,156
8344f4fffffffff,722358.3925151387,91
8344a1fffffffff,841611.9265890134,854
8344f0fffffffff,817422.9575489071,134
8344f5fffffffff,874152.7074931953,27
8344adfffffffff,485906.44005921355,29
83441afffffffff,1299471.3117466616,394
8344a8fffffffff,680934.7095672662,126
8344c1fffffffff,1252092.3131870516,1058
8344c0fffffffff,793311.3699138479,41
83464bfffffffff,58436.17454115871,156
835d14fffffffff,100096.17012504626,33
834649fffffffff,99302.10778278047,25
834648fffffffff,172803.54904260446,61
832aacfffffffff,1658628.9329657576,508
832aaefffffffff,1188910.0145165606,204
8344dafffffffff,704228.8880781351,99
832a8bfffffffff,1124621.8006531117,162
832ad2fffffffff,992829.9084068326,24
83274dfffffffff,1209827.997450385,190
832ab2fffffffff,1136773.8846356622,352
832749fffffffff,1321527.3317890659,129
832741fffffffff,437817.1055855452,57
832a12fffffffff,1357978.4745378261,237
832a89fffffffff,1077443.6669446416,142
8326edfffffffff,544929.8426979594,85
832670fffffffff,633030.1302348815,20
832aabfffffffff,880084.2305750625,115
832a84fffffffff,1300649.4153084033,286
832986fffffffff,460395.5530869778,300
832a81fffffffff,813472.3690442619,30
832621fffffffff,632806.025768097,43
834413fffffffff,402431.72448987374,124
832a33fffffffff,2078863.770435182,923
832a93fffffffff,1555260.3032728902,233
834446fffffffff,924128.6033441093,103
8326aafffffffff,633856.2683749561,217
832a95fffffffff,1496657.8956198194,407
83275dfffffffff,860563.2302797266,121
835d16fffffffff,78033.28770066962,30
832b8dfffffffff,1160575.7464631188,211
8344cefffffffff,856297.9773951118,67
8344ccfffffffff,889084.2044813614,96
