id,road_length,cum_sum,cover_percentage,rank
832810fffffffff,523717.6750857762,523717.6750857762,0.030288162910991515,1
8326d4fffffffff,514163.04659342923,1037880.7216792054,0.06002375301778502,2
83268dfffffffff,481335.80607726384,1519216.5277564693,0.08786084541107465,3
83279bfffffffff,475848.39651262754,1995064.924269097,0.11538058446160032,4
8348c1fffffffff,377711.9990019927,2372776.92327109,0.13722480149577795,5
832785fffffffff,366861.1371220454,2739638.060393135,0.1584414806636984,6
832622fffffffff,364983.96635915013,3104622.026752285,0.17954959741987853,7
832611fffffffff,355510.09154280607,3460132.118295091,0.20010981159899027,8
832796fffffffff,350393.267499308,3810525.3857943993,0.22037410450679693,9
83271bfffffffff,348093.2747642943,4158618.6605586936,0.24050538194087376,10
832791fffffffff,343738.3311133394,4502356.991672033,0.26038479993036207,11
8348d6fffffffff,339381.872082494,4841738.863754528,0.28001227083630065,12
832793fffffffff,338160.8183111032,5179899.682065631,0.29956912454272444,13
832610fffffffff,337572.5391087982,5517472.221174429,0.3190919562996052,14
83488dfffffffff,335297.6906024439,5852769.911776873,0.33848322674886533,15
83278cfffffffff,334102.99259364366,6186872.904370517,0.3578054042313585,16
83271dfffffffff,330914.19176948845,6517787.096140005,0.3769431638042654,17
830d5efffffffff,327464.5097431819,6845251.605883187,0.39588141792571546,18
834888fffffffff,319373.48424896464,7164625.090132152,0.4143517437912676,19
832786fffffffff,311222.9692769464,7475848.059409098,0.43235070094611017,20
83289dfffffffff,310434.11736179027,7786282.176770888,0.45030403643024064,21
830c62fffffffff,286169.9752236461,8072452.151994535,0.46685410384659926,22
8348cefffffffff,278994.3782521323,8351446.530246667,0.4829891849823798,23
8348d3fffffffff,276931.5578657702,8628378.088112436,0.4990049670322397,24
832602fffffffff,272612.7102129004,8900990.798325337,0.5147709771772724,25
83261efffffffff,267703.20373964845,9168694.002064986,0.5302530558474887,26
832708fffffffff,264322.5702553303,9433016.572320316,0.5455396223503937,27
830c66fffffffff,259994.3800040753,9693010.95232439,0.5605758766380036,28
832794fffffffff,255345.23294618836,9948356.18527058,0.5753432568161742,29
830c64fffffffff,254100.5449141411,10202456.73018472,0.5900386529546962,30
832632fffffffff,234855.11019416607,10437311.840378886,0.6036210279182196,31
8327aefffffffff,233663.8038340784,10670975.644212965,0.6171345060641871,32
8348c3fffffffff,232503.59158921606,10903479.235802181,0.6305808856584817,33
